rank,station_id,name,country,country_code,state,lat,lon,elev_m,date,prcp_mm,year_file,mflag,sflag,obs_time
212,USC00518336,PUOHOKAMOA 2 343,United States,US,HI,20.8256,-156.2128,908.3,19871130,640.1,1987,,0,
213,ASN00040117,LANDSBOROUGH POST OFFICE,Australia,AS,,-26.8031,152.9617,43.0,18930202,638.8,1893,,a,
214,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19990509,638.0,1999,,I,
215,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19400923,637.3,1940,,I,
216,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19740221,637.0,1974,,I,
217,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19560521,637.0,1956,,I,
218,IN005070400,JALALPUR,India,IN,,20.95,72.9,17.0,19410703,636.8,1941,,I,
219,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19340620,636.3,1934,,I,
220,US1TXLR0014,DAYTON 0.2 E,United States,US,TX,30.0501,-94.8914,42.1,20170827,635.0,2017,,N,0710
221,ASN00032064,PALUMA IVY COTTAGE,Australia,AS,,-19.0074,146.2057,892.0,19720110,634.7,1972,,a,
222,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19400614,632.5,1940,,I,
223,ASN00033080,MOUNT CHARLTON,Australia,AS,,-21.0003,148.7375,100.0,19700119,632.5,1970,,a,
224,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19510914,632.2,1951,,I,
225,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19510914,632.2,1951,,I,
226,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19720114,632.0,1972,,I,
227,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19420922,632.0,1942,,I,
228,IN010021200,CANNUR,India,IN,,11.833,75.333,18.0,19830916,631.4,1983,,I,
229,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19720116,631.0,1972,,I,
230,ASN00031045,MOSSMAN POST OFFICE,Australia,AS,,-16.4617,145.375,30.0,19690128,630.7,1969,,a,
231,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19710906,630.0,1971,,I,
232,USC00510790,HAELAAU 477,United States,US,HI,20.9381,-156.6194,908.3,19820831,629.9,1982,,0,
233,USC00514561,KILAUEA 1134,United States,US,HI,22.2139,-159.4044,118.9,19560125,629.9,1956,,0,0700
234,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19550519,629.0,1955,,I,
235,ASN00032064,PALUMA IVY COTTAGE,Australia,AS,,-19.0074,146.2057,892.0,19720109,628.9,1972,,a,
236,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19400923,628.1,1940,,I,
237,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19980404,628.0,1998,,I,
238,ASN00031093,HARVEY CREEK RAILWAY STN,Australia,AS,,-17.2667,145.9333,-999.9,19130131,627.9,1913,,a,
239,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19180605,627.6,1918,,I,
240,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19180605,627.6,1918,,I,
241,ASN00033046,MACKAY POST OFFICE,Australia,AS,,-21.15,149.1833,11.0,19180122,627.4,1918,,a,
242,ASN00033021,ETON POLICE STATION,Australia,AS,,-21.2667,148.9667,35.0,19180122,627.4,1918,,a,
243,ASN00033023,FARLEIGH CO-OP SUGAR MILL,Australia,AS,,-21.1011,149.1022,46.6,19180122,627.4,1918,,a,
244,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19740709,627.0,1974,,I,
245,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19380919,626.4,1938,,I,
246,IN022030400,MORMUGAO,India,IN,,15.417,73.783,62.0,19800621,626.4,1980,,I,
247,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19560614,625.9,1956,,I,
248,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19650223,625.0,1965,,I,
249,USC00518336,PUOHOKAMOA 2 343,United States,US,HI,20.8256,-156.2128,908.3,19830731,624.8,1983,,0,
250,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19140616,624.3,1914,,I,
251,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19180722,624.1,1918,,I,
252,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19180722,624.1,1918,,I,
253,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19940226,624.0,1994,,I,
254,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19320824,623.6,1932,,I,
255,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19640708,623.5,1964,,I,
256,RQC00666390,MOROVIS 1 N,Puerto Rico [United States],RQ,PR,18.3344,-66.4078,182.9,20170920,622.8,2017,,7,0800
257,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19410616,622.6,1941,,I,
258,USC00510790,HAELAAU 477,United States,US,HI,20.9381,-156.6194,908.3,19550228,622.3,1955,,0,
259,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19380920,621.8,1938,,I,
260,ASN00040192,SPRINGBROOK FORESTRY,Australia,AS,,-28.2264,153.2786,806.0,19670612,621.0,1967,,a,
261,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19460709,620.8,1946,,I,
262,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19740121,620.0,1974,,I,
263,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19630711,618.7,1963,,I,
264,ASN00031036,KURANDA RAILWAY STATION,Australia,AS,,-16.8178,145.6383,340.0,19110401,617.2,1911,,a,
265,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19960310,616.0,1996,,I,
266,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19340620,615.7,1934,,I,
267,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19030709,615.4,1903,,I,
268,IN022030600,GOA/PANJIM,India,IN,,15.483,73.817,60.0,19810801,614.9,1981,,I,
269,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19030709,614.7,1903,,I,
270,CHM00059855,QIONGHAI,China,CH,,19.233,110.467,25.0,20101005,614.7,2010,,s,
271,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19560620,613.4,1956,,I,
272,ASN00031004,BABINDA POST OFFICE,Australia,AS,,-17.3436,145.9217,14.0,19350302,613.2,1935,,a,
273,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19800726,613.0,1980,,I,
274,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19320824,612.1,1932,,I,
275,ASN00032021,GOONDI MILL CSR,Australia,AS,,-17.5167,146.0167,27.0,19130130,612.1,1913,,a,
276,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19660717,612.0,1966,,I,
277,ASN00040192,SPRINGBROOK FORESTRY,Australia,AS,,-28.2264,153.2786,806.0,19900203,611.0,1990,,a,
278,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19740212,611.0,1974,,I,
279,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19550618,610.9,1955,,I,
280,IN011261400,PANNA           OBSY,India,IN,,24.72,80.17,354.0,19770830,610.1,1977,,I,
281,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19970210,610.0,1997,,I,
282,USC00515665,LUPI UPPER 442,United States,US,HI,20.8889,-156.2481,378.0,19890202,609.6,1989,,0,
283,ASN00032006,CARRUCHAN,Australia,AS,,-18.2,145.8833,-999.9,19340124,609.6,1934,,a,
284,ASN00032069,BANYAN,Australia,AS,,-17.9167,145.9167,-999.9,19270212,609.6,1927,,a,
285,USC00512227,INTAKE WAINIHA 1086,United States,US,HI,22.1528,-159.5681,210.3,19681130,609.6,1968,,0,
286,IN024034300,PANAGARH,India,IN,,23.467,87.433,74.0,19780626,609.3,1978,,I,
287,USC00012172,DAUPHIN IS #2,United States,US,AL,30.2506,-88.0775,2.4,19970720,609.3,1997,,0,0800
288,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19701014,609.0,1970,,I,
289,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19640802,608.9,1964,,I,
290,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19820831,607.1,1982,,0,
291,ASN00031081,BELLENDEN KER,Australia,AS,,-17.29,145.9222,90.0,19670312,606.0,1967,,a,
292,ASN00031127,DAINTREE VILLAGE,Australia,AS,,-16.2511,145.3192,40.0,19960306,606.0,1996,,a,
293,ASN00032042,TULLY SUGAR MILL,Australia,AS,,-17.9364,145.9253,18.8,19270212,606.0,1927,,a,
294,CHM00059663,YANGJIANG,China,CH,,21.867,111.967,22.0,20010608,605.3,2001,,s,
295,IN012121000,KARJAT,India,IN,,18.92,73.33,107.0,19580718,605.0,1958,,I,
296,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19730325,605.0,1973,,I,
297,US1TXOR0001,BRIDGE CITY 1.3 NW,United States,US,TX,30.0428,-93.8675,7.9,20170830,605.0,2017,,N,0700
298,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19160526,604.0,1916,,I,
299,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19570105,604.0,1957,,I,
300,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19740313,604.0,1974,,I,
301,RQC00669432,TORO NEGRO FOREST,Puerto Rico [United States],RQ,PR,18.1731,-66.4928,868.1,19851007,603.3,1985,,0,0800
302,USC00512802,KAIWIKI HOMESTEAD 89.11,United States,US,HI,19.7508,-155.1361,390.1,20180823,602.0,2018,,7,0800
303,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19560614,602.0,1956,,I,
304,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19660227,602.0,1966,,I,
305,IN022030400,MORMUGAO,India,IN,,15.417,73.783,62.0,19780714,601.2,1978,,I,
306,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19560514,601.0,1956,,I,
307,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,20000428,601.0,2000,,I,
308,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19660607,600.4,1966,,I,
309,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,20030512,600.0,2003,,I,
310,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19420921,599.9,1942,,I,
311,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19900201,599.4,1990,,0,
312,IN022030400,MORMUGAO,India,IN,,15.417,73.783,62.0,19770617,599.2,1977,,I,
313,USW00025708,ATKA ISLAND,United States,US,AK,52.2167,-174.2,11.0,20250531,598.9,2025,,d,
314,IN002030100,PASIGHAT AERO   OBSY SR,India,IN,,28.1,95.38,157.0,19770827,597.4,1977,,I,
315,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19420609,596.9,1942,,I,
316,USC00515665,LUPI UPPER 442,United States,US,HI,20.8889,-156.2481,378.0,19870430,596.9,1987,,0,
317,USC00512630,KAILIILI 436,United States,US,HI,20.8461,-156.2739,768.1,19851130,595.9,1985,,0,
318,USC00512630,KAILIILI 436,United States,US,HI,20.8461,-156.2739,768.1,19890201,595.1,1989,,0,
319,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19890201,594.4,1989,,0,
320,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19700311,594.0,1970,,I,
321,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19960305,594.0,1996,,I,
322,ASN00032032,MACKNADE SUGAR MILL,Australia,AS,,-18.5872,146.2508,10.0,19641207,593.1,1964,,a,
323,ASN00031052,PORT DOUGLAS - WARNER ST,Australia,AS,,-16.484,145.4643,14.0,20180326,593.0,2018,,a,
324,ASN00032032,MACKNADE SUGAR MILL,Australia,AS,,-18.5872,146.2508,10.0,19010106,592.6,1901,,a,
325,ASN00033028,GIRU POST OFFICE,Australia,AS,,-19.5114,147.1064,10.0,19460303,592.6,1946,,a,
326,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19660606,592.4,1966,,I,
327,ASN00033021,ETON POLICE STATION,Australia,AS,,-21.2667,148.9667,35.0,19700119,591.8,1970,,a,
