rank,station_id,name,country,country_code,state,lat,lon,elev_m,date,prcp_mm,year_file,mflag,sflag,obs_time
392,ASN00031012,CAPE TRIBULATION STORE,Australia,AS,,-16.0969,145.4575,17.0,20231214,572.4,2023,,a,
393,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19671224,572.0,1967,,I,
394,USW00012849,FT LAUDERDALE INTL AP,United States,US,FL,26.0789,-80.1622,0.9,20230412,571.5,2023,,W,2400
395,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19870507,571.5,1987,,0,
396,ASN00032032,MACKNADE SUGAR MILL,Australia,AS,,-18.5872,146.2508,10.0,20181216,571.0,2018,,a,
397,ASN00031102,DAINTREE TEA,Australia,AS,,-16.1939,145.4061,121.9,19960306,571.0,1996,,a,
398,ASN00031141,BELLENDEN KER TOP STN,Australia,AS,,-17.2639,145.8536,1545.0,19790103,570.0,1979,,a,
399,ASN00033036,KALARKA RAILWAY STATION,Australia,AS,,-22.1667,149.5333,-999.9,19780202,570.0,1978,,a,
400,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,20020115,570.0,2002,,I,
401,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19760308,569.0,1976,,I,
402,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19191007,569.0,1919,,I,
403,ASN00033172,CREDITON,Australia,AS,,-21.2042,148.5436,768.0,19580403,568.5,1958,,a,
404,ASN00003023,ROEBUCK PLAINS,Australia,AS,,-17.9311,122.4725,15.0,19170106,567.9,1917,,a,
405,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19560621,567.7,1956,,I,
406,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19110629,567.7,1911,,I,
