decade,country_code,country,total_prcp_mm,obs_days,station_years,mean_mm_per_obs_day,projected_annual_mm
1960,FI,Finland,1597473.4,1053772,2970,1.516,553.3
1960,SF,South Africa,6019157.2,4056170,11216,1.484,541.6
1960,SV,Svalbard [Norway],5409.3,3652,10,1.481,540.6
1960,MO,Morocco,24554.5,17182,58,1.429,521.6
1960,MD,Moldova,86195.8,60409,171,1.427,520.8
1960,RS,Russia,5093268.3,3731337,10620,1.365,498.2
1960,TI,Tajikistan,236578.7,177208,500,1.335,487.3
1960,SG,Senegal,14538.7,11006,33,1.321,482.2
1960,AJ,Azerbaijan,234753.7,179277,519,1.309,477.9
1960,NG,Niger,42876.0,34521,119,1.242,453.3
1960,KG,Kyrgyzstan,186221.3,160092,452,1.163,424.6
1960,SU,Sudan,58621.6,51056,143,1.148,419.1
1960,SY,Syria,14976.3,13169,41,1.137,415.1
1960,IS,Israel,23377.2,20915,58,1.118,408.0
1960,BC,Botswana,74181.7,67400,189,1.101,401.7
1960,UZ,Uzbekistan,156326.7,183975,534,0.85,310.1
1960,KZ,Kazakhstan,673522.4,814855,2353,0.827,301.7
1960,WA,Namibia,100427.4,125826,357,0.798,291.3
1960,ER,Eritrea,5354.5,7243,20,0.739,269.8
1960,PK,Pakistan,2688.5,3744,24,0.718,262.1
1960,TS,Tunisia,453.6,731,2,0.621,226.5
1960,AG,Algeria,9982.0,16098,47,0.62,226.3
1960,LY,Libya,17469.1,30057,90,0.581,212.1
1960,MG,Mongolia,14212.3,26668,76,0.533,194.5
1960,TX,Turkmenistan,78560.4,172622,486,0.455,166.1
1960,MR,Mauritania,15496.0,36044,99,0.43,156.9
1960,AY,Antarctica,5443.2,18569,71,0.293,107.0
1960,SA,Saudi Arabia,225.0,1629,6,0.138,50.4
1960,EG,Egypt,2408.7,19054,62,0.126,46.1
1970,BH,Belize,4169.3,31,5,134.494,49090.1
1970,TS,Tunisia,466.3,9,2,51.811,18911.1
1970,NN,Sint Maarten,1132.8,36,4,31.467,11485.3
1970,IR,Iran,245.1,8,4,30.637,11182.7
1970,UC,Curacao,2451.5,109,7,22.491,8209.2
1970,KU,Kuwait,273.7,14,3,19.55,7135.8
1970,NC,New Caledonia [France],100102.3,5193,17,19.276,7035.9
1970,NI,Nigeria,289.8,17,12,17.047,6222.2
1970,DO,Dominica,11577.6,731,3,15.838,5780.9
1970,CS,Costa Rica,26586.2,1746,17,15.227,5557.8
1970,NS,Suriname,2001.4,147,6,13.615,4969.5
1970,GY,Guyana,1161.6,91,7,12.765,4659.2
1970,FJ,Fiji,27286.1,2306,35,11.833,4318.9
1970,HO,Honduras,22632.6,2029,27,11.155,4071.4
1970,ES,El Salvador,10967.9,1009,15,10.87,3967.6
1970,FG,French Guiana [France],51234.6,4806,28,10.661,3891.1
1970,MB,Martinique [France],3441.0,327,7,10.523,3840.9
1970,AQ,American Samoa [United States],141805.1,13687,48,10.361,3781.6
1970,TD,Trinidad and Tobago,665.5,65,4,10.238,3737.0
1970,FM,Federated States of Micronesia,235326.8,23581,85,9.98,3642.5
1970,PS,Palau,76516.5,7915,28,9.667,3528.6
1970,GV,Guinea,2310.5,243,25,9.508,3470.5
1970,CW,Cook Islands [New Zealand],4172.2,445,7,9.376,3422.1
1970,LI,Liberia,4291.7,466,6,9.21,3361.5
1970,SL,Sierra Leone,8093.1,903,7,8.962,3271.3
1970,JM,Jamaica,5542.2,622,12,8.91,3252.3
1970,TV,Tuvalu,6089.4,684,14,8.903,3249.5
1970,PM,Panama,17689.8,2004,6,8.827,3221.9
1970,TN,Tonga,2780.1,342,7,8.129,2967.1
1970,RM,Marshall Islands,70123.1,9689,29,7.237,2641.6
1970,NU,Nicaragua,11719.6,1647,15,7.116,2597.2
1970,RP,Philippines,220915.2,31226,170,7.075,2582.3
1970,GQ,Guam [United States],119929.1,17583,53,6.821,2489.6
1970,PP,Papua New Guinea,65218.0,9826,27,6.637,2422.6
1970,SE,Seychelles,18446.0,2921,8,6.315,2305.0
1970,SB,Saint Pierre and Miquelon [France],558.7,90,3,6.208,2265.8
1970,EC,Ecuador,93603.7,15239,48,6.142,2242.0
1970,CQ,Northern Mariana Islands [United States],24518.1,4027,18,6.088,2222.3
1970,CE,Sri Lanka,2345.9,390,12,6.015,2195.5
1970,IO,British Indian Ocean Territory [United Kingdom],16696.0,2826,8,5.908,2156.4
1970,GB,Gabon,262130.4,49535,163,5.292,1931.5
1970,SH,Saint Helena [United Kingdom],31957.6,6163,18,5.185,1892.7
1970,VM,Vietnam,22327.0,4345,54,5.139,1875.6
1970,BB,Barbados,1590.7,310,7,5.131,1872.9
1970,LA,Laos,7096.4,1501,13,4.728,1725.6
1970,JA,Japan,2707661.0,577998,1603,4.685,1709.9
1970,GP,Guadeloupe [France],17343.4,3713,13,4.671,1704.9
1970,CO,Colombia,182355.1,39080,182,4.666,1703.2
1970,RQ,Puerto Rico [United States],1373075.9,303082,915,4.53,1653.6
1970,CJ,Cayman Islands [United Kingdom],16472.0,3652,10,4.51,1646.3
1970,TL,Tokelau [New Zealand],1100.1,247,4,4.454,1625.7
1970,AL,Albania,33151.4,7509,25,4.415,1611.4
1970,TH,Thailand,709282.2,162385,453,4.368,1594.3
1970,CM,Cameroon,15407.6,3543,28,4.349,1587.3
1970,IV,Cote D'Ivoire,194273.3,44891,149,4.328,1579.6
1970,CF,Congo (Brazzaville),187939.6,44819,138,4.193,1530.6
1970,RE,Reunion [France],4913.2,1203,7,4.084,1490.7
1970,VE,Venezuela,969354.0,238271,752,4.068,1484.9
1970,MY,Malaysia,109180.1,27294,101,4.0,1460.1
1970,SI,Slovenia,161341.4,40509,117,3.983,1453.7
1970,MP,Mauritius,72514.1,18253,50,3.973,1450.0
1970,MA,Madagascar,65913.1,16885,146,3.904,1424.8
1970,CT,Central African Republic,185171.7,49001,142,3.779,1379.3
1970,BD,Bermuda [United Kingdom],12571.6,3470,10,3.623,1322.4
1970,IN,India,3641531.4,1005560,3191,3.621,1321.8
1970,UG,Uganda,91542.8,25522,73,3.587,1309.2
1970,PA,Paraguay,62407.3,17544,52,3.557,1298.4
1970,MF,Mayotte [France],3903.5,1099,7,3.552,1296.4
1970,SZ,Switzerland,103569.1,29213,80,3.545,1294.0
1970,CG,Congo (Kinshasa),2052.4,588,32,3.49,1274.0
1970,KR,Kiribati,9279.6,2681,15,3.461,1263.4
1970,BR,Brazil,45714608.3,13404735,39276,3.41,1244.8
1970,NZ,New Zealand,2587.1,774,6,3.343,1220.0
1970,GT,Guatemala,1218.7,365,1,3.339,1218.7
1970,SX,South Georgia and the South Sandwich Islands [United Kingdom],1245.5,375,6,3.321,1212.3
1970,CB,Cambodia,390.0,118,2,3.305,1206.4
1970,GG,Georgia,1110793.6,343278,987,3.236,1181.1
1970,IC,Iceland,76199.3,23832,68,3.197,1167.0
1970,UY,Uruguay,380829.5,119758,483,3.18,1160.7
1970,NO,Norway,3729006.5,1172902,3278,3.179,1160.4
1970,GH,Ghana,6405.6,2026,80,3.162,1154.0
1970,MI,Malawi,203963.9,65612,180,3.109,1134.7
1970,MQ,Midway Islands [United States},17907.7,5775,19,3.101,1131.8
1970,PU,Guinea-Bissau,3315.5,1072,10,3.093,1128.9
1970,DR,Dominican Republic,3128.3,1019,9,3.07,1120.5
1970,FS,French Southern and Antarctic Lands [France],7564.8,2469,18,3.064,1118.3
1970,BN,Benin,71564.4,23371,77,3.062,1117.7
1970,HR,Croatia,143906.6,47473,130,3.031,1106.4
1970,PO,Portugal,193883.8,64026,186,3.028,1105.3
1970,MZ,Mozambique,91097.0,30450,119,2.992,1092.0
1970,VQ,Virgin Islands [United States],209764.5,70334,222,2.982,1088.6
1970,ZA,Zambia,184933.4,64078,186,2.886,1053.4
1970,AU,Austria,88654.6,30943,88,2.865,1045.8
1970,GA,"Gambia, The",829.7,292,7,2.841,1037.1
1970,ET,Ethiopia,146438.2,51918,146,2.821,1029.5
1970,TO,Togo,41010.4,14693,60,2.791,1018.8
1970,CI,Chile,59675.4,21445,116,2.783,1015.7
1970,EI,Ireland,84045.8,30312,87,2.773,1012.0
1970,BK,Bosnia and Herzegovina,10988.5,3970,12,2.768,1010.3
1970,TZ,Tanzania,110124.4,40203,129,2.739,999.8
1970,BY,Burundi,19366.3,7242,20,2.674,976.1
1970,MX,Mexico,27459436.6,10283101,30380,2.67,974.7
1970,GL,Greenland [Denmark],244413.3,92035,285,2.656,969.3
1970,MJ,Montenegro,3317.7,1295,7,2.562,935.1
1970,WQ,Wake Island [United States],9292.7,3652,10,2.545,928.8
1970,KT,Christmas Island [Australia],15.0,6,4,2.5,912.5
1970,TU,Turkey,115889.3,46379,216,2.499,912.0
1970,WZ,Swaziland,54440.6,21834,60,2.493,910.1
1970,US,United States,72487828.3,29949480,87485,2.42,883.4
1970,NP,Nepal,2056.6,850,8,2.42,883.1
1970,TE,Tromelin Island [France],2797.0,1172,7,2.387,871.1
1970,CA,Canada,19677001.0,8275756,26189,2.378,867.8
1970,UK,United Kingdom,863128.7,365638,1013,2.361,861.6
1970,BF,"Bahamas, The",4629.9,1961,8,2.361,861.8
1970,FR,France,613306.2,274067,781,2.238,816.8
1970,BL,Bolivia,51402.2,23120,167,2.223,811.5
1970,ZI,Zimbabwe,133241.6,60588,169,2.199,802.7
1970,UV,Burkina Faso,68749.3,31334,98,2.194,800.8
1970,GI,Gibraltar [United Kingdom],5006.7,2308,7,2.169,791.8
1970,PE,Peru,89306.8,41356,174,2.159,788.2
1970,LU,Luxembourg,86424.7,40172,110,2.151,785.2
1970,IT,Italy,202904.8,94517,359,2.147,783.6
1970,MT,Malta,5040.1,2372,9,2.125,775.6
1970,AR,Argentina,194092.4,91636,504,2.118,773.1
1970,GM,Germany,4817477.3,2298995,6403,2.095,764.8
1970,LT,Lesotho,25734.7,12320,39,2.089,762.4
1970,BE,Belgium,7603.5,3652,10,2.082,759.9
1970,JN,Jan Mayen [Norway],7511.2,3652,10,2.057,750.7
1970,AS,Australia,53444630.5,26056871,76137,2.051,748.6
1970,CH,China,1512710.9,737597,2096,2.051,748.6
1970,NL,Netherlands,2068053.0,1086597,2989,1.903,694.7
1970,LO,Slovakia,36723.4,19404,54,1.893,690.8
1970,KE,Kenya,39994.6,21663,77,1.846,673.9
1970,BP,Solomon Islands,97.8,53,14,1.845,673.5
1970,SP,Spain,573126.8,312882,968,1.832,668.6
1970,DA,Denmark,68458.7,37424,105,1.829,667.7
1970,JU,Juan De Nova Island [France],1437.6,796,6,1.806,659.2
1970,EZ,Czech Republic,44742.1,24915,76,1.796,655.5
1970,RI,Serbia,19669.7,10956,30,1.795,655.3
1970,CD,Chad,61257.8,34144,115,1.794,654.8
1970,LH,Lithuania,123930.7,69384,198,1.786,651.9
1970,CU,Cuba,6578.2,3685,16,1.785,651.6
1970,RO,Romania,180469.2,101100,291,1.785,651.5
1970,JQ,Johnston Atoll [United States],6439.1,3644,10,1.767,645.0
1970,GR,Greece,55601.5,31554,94,1.762,643.2
1970,BO,Belarus,282962.2,161931,505,1.747,637.8
1970,LG,Latvia,178912.7,102771,310,1.741,635.4
1970,ID,Indonesia,94335.3,54298,337,1.737,634.1
1970,BU,Bulgaria,11785.8,6816,23,1.729,631.1
1970,PL,Poland,37301.7,22020,70,1.694,618.3
1970,EN,Estonia,250433.8,149065,441,1.68,613.2
1970,SF,South Africa,6629948.2,3962622,11030,1.673,610.7
1970,MK,Macedonia,9437.8,5693,23,1.658,605.1
1970,UP,Ukraine,1070347.0,648628,1944,1.65,602.3
1970,SW,Sweden,5237445.7,3176523,8974,1.649,601.8
1970,HU,Hungary,48275.9,30362,85,1.59,580.4
1970,MD,Moldova,82082.4,51945,166,1.58,576.8
1970,RW,Rwanda,31.1,20,4,1.555,567.6
1970,ML,Mali,26387.0,17066,119,1.546,564.4
1970,KS,"Korea, South",35873.3,23347,86,1.537,560.8
1970,FI,Finland,3379422.9,2212126,6177,1.528,557.6
1970,EU,Europa Island [France],1535.5,1008,7,1.523,556.0
1970,AM,Armenia,191125.1,128383,412,1.489,543.4
1970,LE,Lebanon,2537.9,1734,7,1.464,534.2
1970,CY,Cyprus,22384.7,15565,47,1.438,524.9
1970,RS,Russia,5324634.0,3825785,10867,1.392,508.0
1970,BC,Botswana,90337.5,65692,185,1.375,501.9
1970,SG,Senegal,31338.4,22989,94,1.363,497.6
1970,SV,Svalbard [Norway],6808.5,5084,15,1.339,488.8
1970,AO,Angola,884.2,663,23,1.334,486.8
1970,AJ,Azerbaijan,221347.7,178279,535,1.242,453.2
1970,TI,Tajikistan,231000.6,194398,559,1.188,433.7
1970,IS,Israel,25593.4,21859,62,1.171,427.4
1970,MO,Morocco,18878.1,16197,89,1.166,425.4
1970,SY,Syria,16039.5,13890,42,1.155,421.5
1970,SU,Sudan,51809.2,46128,183,1.123,410.0
1970,KG,Kyrgyzstan,162286.9,147014,438,1.104,402.9
1970,WA,Namibia,879109.4,887258,2477,0.991,361.6
1970,NH,Vanuatu,7029.1,7208,35,0.975,355.9
1970,LY,Libya,4878.5,5277,39,0.924,337.4
1970,PK,Pakistan,6882.4,7553,152,0.911,332.6
1970,NG,Niger,37448.2,41521,128,0.902,329.2
1970,KN,"Korea, North",10531.1,12765,63,0.825,301.1
1970,ER,Eritrea,5764.8,7273,20,0.793,289.3
1970,KZ,Kazakhstan,774035.1,991073,2893,0.781,285.1
1970,UZ,Uzbekistan,130674.4,181632,571,0.719,262.6
1970,AC,Antigua and Barbuda,21.9,32,1,0.684,249.8
1970,AG,Algeria,9240.4,13720,55,0.673,245.8
1970,WF,Wallis and Futuna [France],309.8,557,9,0.556,203.0
1970,TX,Turkmenistan,83560.9,163931,486,0.51,186.1
1970,MG,Mongolia,15315.0,32861,90,0.466,170.1
1970,AY,Antarctica,3564.4,10072,78,0.354,129.2
1970,MR,Mauritania,13388.5,45562,151,0.294,107.3
1970,CV,Cape Verde,502.9,1756,11,0.286,104.5
1970,SA,Saudi Arabia,788.8,2899,24,0.272,99.3
1970,FP,French Polynesia,2925.3,10863,51,0.269,98.3
1970,EG,Egypt,515.4,2203,29,0.234,85.4
1970,AE,United Arab Emirates,2.0,9,3,0.222,81.1
1970,NF,Norfolk Island [Australia],20.7,125,4,0.166,60.4
1970,CK,Cocos (Keeling) Islands [Australia],7.1,91,6,0.078,28.5
1970,WI,Western Sahara,3.0,130,4,0.023,8.4
1980,QA,Qatar,260.2,9,4,28.911,10552.6
1980,SB,Saint Pierre and Miquelon [France],6738.7,434,7,15.527,5667.3
1980,NC,New Caledonia [France],92677.9,6567,20,14.113,5151.1
1980,BM,Burma,1849.2,139,17,13.304,4855.8
1980,AQ,American Samoa [United States],139579.2,12178,38,11.462,4183.5
1980,KN,"Korea, North",36985.8,3336,60,11.087,4046.7
1980,PS,Palau,64698.7,5913,17,10.942,3993.7
1980,FM,Federated States of Micronesia,295295.5,28052,90,10.527,3842.3
1980,NI,Nigeria,338.6,34,15,9.959,3635.0
1980,GB,Gabon,161177.8,16491,131,9.774,3567.4
1980,CM,Cameroon,39876.9,4123,40,9.672,3530.2
1980,FG,French Guiana [France],62387.3,6904,40,9.036,3298.3
1980,BX,Brunei,19611.9,2171,9,9.034,3297.3
1980,SH,Saint Helena [United Kingdom],32136.0,3591,10,8.949,3266.4
1980,BH,Belize,10369.3,1195,10,8.677,3167.2
1980,TV,Tuvalu,46060.9,5354,20,8.603,3140.1
1980,MY,Malaysia,343404.3,41499,134,8.275,3020.4
1980,BA,Bahrain,98.8,12,4,8.233,3005.2
1980,CF,Congo (Brazzaville),96264.0,11973,124,8.04,2934.6
1980,CS,Costa Rica,131531.6,16723,60,7.865,2870.8
1980,WF,Wallis and Futuna [France],41409.1,5328,20,7.772,2836.8
1980,IO,British Indian Ocean Territory [United Kingdom],27824.5,3592,10,7.746,2827.4
1980,PM,Panama,109222.7,14492,40,7.537,2750.9
1980,LA,Laos,1467.7,195,19,7.527,2747.2
1980,CD,Chad,3016.0,410,15,7.356,2685.0
1980,RM,Marshall Islands,101974.9,14120,45,7.222,2636.0
1980,KS,"Korea, South",104434.8,14838,106,7.038,2569.0
1980,PP,Papua New Guinea,75883.0,10896,30,6.964,2542.0
1980,GQ,Guam [United States],226546.4,33228,100,6.818,2488.5
1980,EC,Ecuador,88866.4,13356,45,6.654,2428.6
1980,RE,Reunion [France],18639.4,2815,10,6.621,2416.8
1980,IV,Cote D'Ivoire,165854.4,25428,144,6.523,2380.7
1980,SN,Singapore,14334.3,2213,9,6.477,2364.2
1980,BP,Solomon Islands,13154.1,2036,16,6.461,2358.2
1980,TL,Tokelau [New Zealand],5397.2,839,8,6.433,2348.0
1980,FJ,Fiji,562787.4,87682,245,6.419,2342.8
1980,GV,Guinea,4990.1,780,46,6.398,2335.1
1980,CT,Central African Republic,78166.6,12344,130,6.332,2311.3
1980,CG,Congo (Kinshasa),9381.2,1499,70,6.258,2284.3
1980,GY,Guyana,2113.4,340,5,6.216,2268.8
1980,MA,Madagascar,200388.0,33367,219,6.006,2192.0
1980,CQ,Northern Mariana Islands [United States],9249.6,1597,7,5.792,2114.0
1980,BN,Benin,57548.2,9963,61,5.776,2108.3
1980,SE,Seychelles,20996.0,3653,10,5.748,2097.9
1980,TO,Togo,49744.2,8823,73,5.638,2057.9
1980,HO,Honduras,103569.9,18579,60,5.575,2034.7
1980,CK,Cocos (Keeling) Islands [Australia],60.9,11,2,5.536,2020.8
1980,ES,El Salvador,41972.9,7603,30,5.521,2015.0
1980,NH,Vanuatu,68414.1,12396,55,5.519,2014.5
1980,DR,Dominican Republic,18437.0,3602,20,5.119,1868.3
1980,GA,"Gambia, The",1827.9,367,9,4.981,1817.9
1980,AF,Afghanistan,24.9,5,4,4.98,1817.7
1980,NF,Norfolk Island [Australia],10558.2,2132,10,4.952,1807.6
1980,ID,Indonesia,205860.5,41785,609,4.927,1798.2
1980,MF,Mayotte [France],10505.9,2167,10,4.848,1769.6
1980,NU,Nicaragua,74466.9,15382,50,4.841,1767.0
1980,FS,French Southern and Antarctic Lands [France],36044.7,7465,30,4.828,1762.4
1980,NP,Nepal,3503.8,727,15,4.82,1759.1
1980,JA,Japan,2754380.6,581473,1621,4.737,1729.0
1980,FP,French Polynesia,99439.2,21098,80,4.713,1720.3
1980,NS,Suriname,12618.1,2701,10,4.672,1705.1
1980,BF,"Bahamas, The",14571.2,3128,10,4.658,1700.3
1980,UV,Burkina Faso,58363.4,12529,88,4.658,1700.3
1980,RQ,Puerto Rico [United States],1359102.7,291898,863,4.656,1699.5
1980,IN,India,1062933.8,229924,930,4.623,1687.4
1980,TN,Tonga,11717.5,2555,10,4.586,1673.9
1980,TD,Trinidad and Tobago,8093.3,1766,10,4.583,1672.7
1980,MV,Maldives,7900.8,1746,9,4.525,1651.7
1980,PA,Paraguay,92579.4,20711,110,4.47,1631.6
1980,MP,Mauritius,79735.7,18225,50,4.375,1596.9
1980,RP,Philippines,235737.7,53886,212,4.375,1596.8
1980,RW,Rwanda,3970.3,920,10,4.316,1575.2
1980,TH,Thailand,683624.0,159276,452,4.292,1566.6
1980,CO,Colombia,123053.8,28799,190,4.273,1559.6
1980,BD,Bermuda [United Kingdom],15605.4,3652,10,4.273,1559.7
1980,VE,Venezuela,1218027.6,286290,967,4.255,1552.9
1980,GH,Ghana,2171.5,517,39,4.2,1533.1
1980,BL,Bolivia,132170.2,32052,289,4.124,1505.1
1980,JU,Juan De Nova Island [France],7073.6,1718,10,4.117,1502.8
1980,NN,Sint Maarten,8942.0,2209,10,4.048,1477.5
1980,TE,Tromelin Island [France],11200.4,2777,10,4.033,1472.1
1980,CW,Cook Islands [New Zealand],11883.1,2957,10,4.019,1466.8
1980,KR,Kiribati,10569.7,2667,10,3.963,1446.5
1980,BR,Brazil,45625503.8,11607817,34035,3.931,1434.7
1980,SG,Senegal,55843.4,14234,119,3.923,1432.0
1980,BB,Barbados,9646.7,2497,10,3.863,1410.1
1980,ML,Mali,57387.8,14911,163,3.849,1404.8
1980,SL,Sierra Leone,2250.2,587,10,3.833,1399.2
1980,SI,Slovenia,198575.1,53429,153,3.717,1356.6
1980,GP,Guadeloupe [France],18397.6,5030,22,3.658,1335.0
1980,SZ,Switzerland,104949.9,29224,80,3.591,1310.8
1980,CU,Cuba,28806.8,8036,36,3.585,1308.4
1980,NO,Norway,4065314.5,1205312,3343,3.373,1231.1
1980,AL,Albania,29941.4,8951,27,3.345,1220.9
1980,GG,Georgia,1131489.0,340668,959,3.321,1212.3
1980,AU,Austria,96366.5,29320,100,3.287,1199.7
1980,CJ,Cayman Islands [United Kingdom],9761.9,2971,10,3.286,1199.3
1980,CE,Sri Lanka,16713.0,5123,39,3.262,1190.8
1980,IC,Iceland,71432.4,22013,73,3.245,1184.4
1980,LI,Liberia,4575.1,1419,10,3.224,1176.8
1980,UG,Uganda,40012.5,12460,40,3.211,1172.1
1980,GT,Guatemala,11110.5,3592,10,3.093,1129.0
1980,JM,Jamaica,12264.9,3966,20,3.093,1128.8
1980,EI,Ireland,103827.0,33690,102,3.082,1124.9
1980,UY,Uruguay,898964.9,292271,887,3.076,1122.7
1980,VQ,Virgin Islands [United States],254463.8,83145,262,3.06,1117.1
1980,MI,Malawi,204460.3,67010,193,3.051,1113.7
1980,NZ,New Zealand,38883.5,13015,54,2.988,1090.5
1980,MZ,Mozambique,101782.9,34177,143,2.978,1087.0
1980,PU,Guinea-Bissau,576.0,196,7,2.939,1072.7
1980,HR,Croatia,135461.6,47486,130,2.853,1041.2
1980,MJ,Montenegro,9177.4,3237,19,2.835,1034.8
1980,PO,Portugal,195444.8,69365,210,2.818,1028.4
1980,BY,Burundi,20181.9,7248,20,2.784,1016.3
1980,NG,Niger,40174.3,14470,135,2.776,1013.4
1980,MQ,Midway Islands [United States},17872.5,6456,19,2.768,1010.4
1980,ZA,Zambia,177660.4,64228,188,2.766,1009.6
1980,TZ,Tanzania,111566.7,40468,139,2.757,1006.3
1980,ET,Ethiopia,120773.3,45635,134,2.647,966.0
1980,AR,Argentina,431888.0,164802,875,2.621,956.5
1980,UK,United Kingdom,974231.0,374032,1070,2.605,950.7
1980,LU,Luxembourg,103038.8,40183,110,2.564,935.9
1980,SX,South Georgia and the South Sandwich Islands [United Kingdom],485.2,193,3,2.514,917.6
1980,PE,Peru,144014.2,57928,249,2.486,907.4
1980,BK,Bosnia and Herzegovina,8965.9,3653,10,2.454,895.9
1980,US,United States,71079377.0,29487806,86124,2.41,879.8
1980,MX,Mexico,28365567.9,11769857,36363,2.41,879.7
1980,BE,Belgium,8618.5,3653,10,2.359,861.1
1980,WZ,Swaziland,47077.9,20070,57,2.346,856.2
1980,CA,Canada,19147869.8,8236478,25932,2.325,848.5
1980,GM,Germany,5389650.4,2328428,6573,2.315,844.9
1980,FR,France,662377.6,291616,910,2.271,829.1
1980,TU,Turkey,145285.6,64633,280,2.248,820.5
1980,WQ,Wake Island [United States],8202.0,3653,10,2.245,819.5
1980,DA,Denmark,81339.0,36494,113,2.229,813.5
1980,NL,Netherlands,2446987.2,1127337,3097,2.171,792.3
1980,KE,Kenya,58357.6,27322,95,2.136,779.6
1980,UC,Curacao,5738.3,2704,10,2.122,774.6
1980,EU,Europa Island [France],3678.3,1751,10,2.101,766.8
1980,IT,Italy,194343.5,92589,415,2.099,766.1
1980,CH,China,1528932.5,763832,2135,2.002,730.6
1980,CI,Chile,72994.9,36497,169,2.0,730.0
1980,LH,Lithuania,148355.5,75514,208,1.965,717.1
1980,ZI,Zimbabwe,109649.9,57772,167,1.898,692.8
1980,LG,Latvia,199514.7,105436,292,1.892,690.7
1980,JN,Jan Mayen [Norway],6879.0,3652,10,1.884,687.5
1980,EZ,Czech Republic,52781.3,28055,104,1.881,686.7
1980,AS,Australia,42553546.4,23125530,67500,1.84,671.6
1980,EN,Estonia,288180.1,156698,436,1.839,671.3
1980,SW,Sweden,5327075.1,2916397,8280,1.827,666.7
1980,LO,Slovakia,36305.9,19993,60,1.816,662.8
1980,GI,Gibraltar [United Kingdom],5284.6,2936,10,1.8,657.0
1980,JQ,Johnston Atoll [United States],5028.2,2827,8,1.779,649.2
1980,LT,Lesotho,18311.8,10453,34,1.752,639.4
1980,BO,Belarus,244105.2,139485,443,1.75,638.8
1980,MB,Martinique [France],4799.7,2790,10,1.72,627.9
1980,FI,Finland,3485986.4,2059673,5752,1.692,617.8
1980,GR,Greece,62254.1,36951,111,1.685,614.9
1980,RI,Serbia,18326.0,10959,30,1.672,610.4
1980,SP,Spain,536492.3,321236,1026,1.67,609.6
1980,UP,Ukraine,1127119.5,698205,1953,1.614,589.2
1980,SF,South Africa,5380171.5,3477339,9855,1.547,564.7
1980,RO,Romania,160545.6,103797,299,1.547,564.6
1980,GL,Greenland [Denmark],102029.4,66782,229,1.528,557.6
1980,MK,Macedonia,6860.4,4498,23,1.525,556.7
1980,HU,Hungary,48035.8,32057,100,1.498,546.9
1980,MD,Moldova,82468.7,55809,158,1.478,539.4
1980,AM,Armenia,157797.3,107786,329,1.464,534.4
1980,CY,Cyprus,28260.5,19314,75,1.463,534.1
1980,AE,United Arab Emirates,71.7,49,10,1.463,534.1
1980,BU,Bulgaria,11999.2,8233,31,1.457,532.0
1980,RS,Russia,5537137.5,3929057,10990,1.409,514.4
1980,PL,Poland,29418.6,22327,100,1.318,480.9
1980,AJ,Azerbaijan,283625.0,219139,627,1.294,472.4
1980,TI,Tajikistan,264705.4,205869,575,1.286,469.3
1980,MT,Malta,3466.7,2839,10,1.221,445.7
1980,KG,Kyrgyzstan,273136.5,238322,683,1.146,418.3
1980,BC,Botswana,72525.1,66261,188,1.095,399.5
1980,SU,Sudan,46563.7,43189,200,1.078,393.5
1980,ER,Eritrea,5938.3,5645,17,1.052,384.0
1980,IS,Israel,25091.6,23876,69,1.051,383.6
1980,MR,Mauritania,10671.9,10165,131,1.05,383.2
1980,SV,Svalbard [Norway],7314.2,7049,20,1.038,378.7
1980,AG,Algeria,71803.2,69215,362,1.037,378.6
1980,EG,Egypt,3132.7,3073,55,1.019,372.1
1980,SY,Syria,14357.9,14942,63,0.961,350.7
1980,AY,Antarctica,25248.1,26482,171,0.953,348.0
1980,BG,Bangladesh,8089.1,9120,64,0.887,323.7
1980,MO,Morocco,30732.6,35080,112,0.876,319.8
1980,LY,Libya,17292.0,19769,165,0.875,319.3
1980,TS,Tunisia,11546.4,13869,40,0.833,303.9
1980,IR,Iran,882.8,1110,28,0.795,290.3
1980,KZ,Kazakhstan,862112.3,1106576,3210,0.779,284.4
1980,UZ,Uzbekistan,119688.8,157450,540,0.76,277.5
1980,SA,Saudi Arabia,5680.3,7859,88,0.723,263.8
1980,WA,Namibia,374843.2,589811,1847,0.636,232.0
1980,LE,Lebanon,235.1,459,7,0.512,187.0
1980,TX,Turkmenistan,87964.0,184044,519,0.478,174.5
1980,MG,Mongolia,38556.9,96313,326,0.4,146.1
1980,KU,Kuwait,876.1,2640,19,0.332,121.1
1980,PK,Pakistan,11224.0,35705,222,0.314,114.7
1980,VM,Vietnam,2420.3,12176,86,0.199,72.6
1980,MU,Oman,2866.8,16283,67,0.176,64.3
1980,AO,Angola,4.3,32,8,0.134,49.0
1980,CV,Cape Verde,296.3,2661,14,0.111,40.6
1980,WI,Western Sahara,45.3,1064,5,0.043,15.5
1980,JO,Jordan,161.4,4051,38,0.04,14.5
1980,MC,Macau S.A.R,0.0,2322,8,0.0,0.0
1980,IZ,Iraq,0.0,1,1,0.0,0.0
1990,EK,Equatorial Guinea,1298.8,20,2,64.94,23703.1
1990,NC,New Caledonia [France],101460.5,6667,20,15.218,5554.7
1990,PU,Guinea-Bissau,177.1,15,1,11.807,4309.4
1990,AQ,American Samoa [United States],106137.2,9442,29,11.241,4103.0
1990,TL,Tokelau [New Zealand],3426.1,307,6,11.16,4073.4
